2026-07-03 04:06:59,497 P1428473 INFO ---- Model: ----MSTGAD-9a978fb3----random_seed : 2----req_loss_approach : Normal-Recreation----rec_lambda : 1.0----auxi_lambda : 0.1----Freq Domain : encoder_decoder----Multi Fits : false----train : True----evaluate : False
2026-07-03 04:06:59,497 P1428473 INFO Load from /home/db2003/Desktop/Amr/Tests/Eadro/codes/chunks/TT
2026-07-03 04:07:11,141 P1428473 INFO Fewshot: training with 1.0 of the 70% of the data
2026-07-03 04:07:28,135 P1428473 INFO Trainable Parameters Breakdown:
2026-07-03 04:07:28,135 P1428473 INFO --------------------------------------------------------------------------------
2026-07-03 04:07:28,135 P1428473 INFO Reconstruction-Specific Parameters:
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.node2node.att | shape: (1, 4, 10)                | params: 40
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.node2node.bias | shape: (40,)                     | params: 40
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.node2node.lin_l.weight | shape: (40, 40)                  | params: 1,600
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.node2node.lin_l.bias | shape: (40,)                     | params: 40
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.node2node.lin_r.weight | shape: (40, 40)                  | params: 1,600
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.node2node.lin_r.bias | shape: (40,)                     | params: 40
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.node2node.lin_edge.weight | shape: (40, 8)                   | params: 320
2026-07-03 04:07:28,135 P1428473 INFO encoder.spatial_attention.0.egde2node.att | shape: (1, 2, 4)                 | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.0.egde2node.bias | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.0.egde2node.lin_l.weight | shape: (8, 8)                    | params: 64
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.0.egde2node.lin_l.bias | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.0.egde2node.lin_r.weight | shape: (8, 8)                    | params: 64
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.0.egde2node.lin_r.bias | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.0.egde2node.lin_edge.weight | shape: (8, 40)                   | params: 320
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.node2node.att | shape: (1, 4, 10)                | params: 40
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.node2node.bias | shape: (40,)                     | params: 40
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.node2node.lin_l.weight | shape: (40, 40)                  | params: 1,600
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.node2node.lin_l.bias | shape: (40,)                     | params: 40
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.node2node.lin_r.weight | shape: (40, 40)                  | params: 1,600
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.node2node.lin_r.bias | shape: (40,)                     | params: 40
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.node2node.lin_edge.weight | shape: (40, 8)                   | params: 320
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.egde2node.att | shape: (1, 2, 4)                 | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.egde2node.bias | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.egde2node.lin_l.weight | shape: (8, 8)                    | params: 64
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.egde2node.lin_l.bias | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.egde2node.lin_r.weight | shape: (8, 8)                    | params: 64
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.egde2node.lin_r.bias | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.spatial_attention.1.egde2node.lin_edge.weight | shape: (8, 40)                   | params: 320
2026-07-03 04:07:28,136 P1428473 INFO encoder.sa_add.0.addnorm_node.ln.weight  | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.sa_add.0.addnorm_node.ln.bias    | shape: (8,)                      | params: 8
2026-07-03 04:07:28,136 P1428473 INFO encoder.sa_add.0.addnorm_trace.ln.weight | shape: (8,)                      | params: 8
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.0.addnorm_trace.ln.bias   | shape: (8,)                      | params: 8
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.0.addnorm_log.ln.weight   | shape: (32,)                     | params: 32
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.0.addnorm_log.ln.bias     | shape: (32,)                     | params: 32
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.1.addnorm_node.ln.weight  | shape: (8,)                      | params: 8
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.1.addnorm_node.ln.bias    | shape: (8,)                      | params: 8
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.1.addnorm_trace.ln.weight | shape: (8,)                      | params: 8
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.1.addnorm_trace.ln.bias   | shape: (8,)                      | params: 8
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.1.addnorm_log.ln.weight   | shape: (32,)                     | params: 32
2026-07-03 04:07:28,137 P1428473 INFO encoder.sa_add.1.addnorm_log.ln.bias     | shape: (32,)                     | params: 32
2026-07-03 04:07:28,137 P1428473 INFO encoder.temporal_attention.0.attention_node.in_proj_weight | shape: (24, 8)                   | params: 192
2026-07-03 04:07:28,137 P1428473 INFO encoder.temporal_attention.0.attention_node.in_proj_bias | shape: (24,)                     | params: 24
2026-07-03 04:07:28,137 P1428473 INFO encoder.temporal_attention.0.attention_node.out_proj.weight | shape: (8, 8)                    | params: 64
2026-07-03 04:07:28,137 P1428473 INFO encoder.temporal_attention.0.attention_node.out_proj.bias | shape: (8,)                      | params: 8
2026-07-03 04:07:28,137 P1428473 INFO encoder.temporal_attention.0.attention_trace.in_proj_weight | shape: (24, 8)                   | params: 192
