model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,be317b2c,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.8822  rc:0.7173  auc:0.9953 ap:0.9518 f1: 0.7912 pred_right: 457759 pred_wrong:12041 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.512847995758058,0.22177365781519087,142.751953125,0.8949289091966456,6038.9296875,1.0,RQ2_ablations_components,1
MSTGAD,e9c804e8,FITS_Legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8385  rc:0.6474  auc:0.9923 ap:0.9317 f1: 0.7307 pred_right: 458367 pred_wrong:11433 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,21.8011314868927,0.25664009243147246,143.1455078125,0.6362716174426775,5930.203125,1.0,RQ2_ablations_components,1
