model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8222  rc:0.2868  auc:0.9618 ap:0.8464 f1: 0.4253 pred_right: 16685 pred_wrong:45 actu_right: 16601 actu_wrong: 129,43990,994,42996,5.406661939620972,0.27900144003567695,40.38623046875,0.3116389483801277,3017.32421875,3584.210891069689,3208.8415302320636,0.013344499376186411,0.0202565316447083,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8222  rc:0.2868  auc:0.9618 ap:0.8464 f1: 0.4253 pred_right: 16685 pred_wrong:45 actu_right: 16601 actu_wrong: 129,43990,994,42996,5.696272850036621,0.28314457065105725,40.38623046875,0.35660493466502097,3023.37890625,3531.7647013347955,2804.2236738517263,0.013430396419691598,0.023179320753226363,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.512565326690674,0.146637966158286,67.048828125,0.23706794426388464,3071.82421875,6819.516297167993,4218.199989480155,0.007379628965898822,0.015409416377152502,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.7369242668151856,0.15073947028634938,67.048828125,0.2374299899304761,3156.65625,6633.962545445921,4211.767857517993,0.007787276404727952,0.015432949345480947,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,4.0677978038787845,0.15728192463365773,67.048828125,0.2588292331091316,3206.6875,6358.009684388131,3863.551222509571,0.007779478556229979,0.016823900152093552,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.6139768600463866,0.1203995708641148,67.048828125,0.18998782790070584,3102.3125,8305.677444055167,5263.495093604809,0.0061810129692364945,0.012349208813545879,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9048  rc:0.8837  auc:0.9701 ap:0.9499 f1: 0.8941 pred_right: 16604 pred_wrong:126 actu_right: 16601 actu_wrong: 129,44015,1019,42996,6.101274394989014,0.2631471842545203,40.38720703125,0.35858189924277734,3015.4375,3800.154665659593,2788.7631866296506,0.012505412063735443,0.02330782345078053,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9048  rc:0.8837  auc:0.9701 ap:0.9499 f1: 0.8941 pred_right: 16604 pred_wrong:126 actu_right: 16601 actu_wrong: 129,44015,1019,42996,5.7149146556854244,0.28885278057638786,40.38720703125,0.385828596777497,3027.45703125,3461.971174397428,2591.824474266973,0.014328686606882008,0.025078858790537305,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.61899790763855,0.16632273435165124,67.048828125,0.25799890086099336,3162.796875,6012.407166693939,3875.9855048327813,0.0081085659451117,0.01676992855596457,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9048  rc:0.8837  auc:0.9701 ap:0.9499 f1: 0.8941 pred_right: 16604 pred_wrong:126 actu_right: 16601 actu_wrong: 129,44015,1019,42996,5.577868509292602,0.31417184523031233,40.38720703125,0.3874510686980417,3032.0234375,3182.9714061962572,2580.9710716770423,0.014778486513711275,0.02518431946537271,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9048  rc:0.8837  auc:0.9701 ap:0.9499 f1: 0.8941 pred_right: 16604 pred_wrong:126 actu_right: 16601 actu_wrong: 129,44015,1019,42996,6.095896482467651,0.28797322493859273,40.38720703125,0.37065702359689184,3029.33203125,3472.54506113629,2697.911914081386,0.013691255019867982,0.024092706533797973,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9048  rc:0.8837  auc:0.9701 ap:0.9499 f1: 0.8941 pred_right: 16604 pred_wrong:126 actu_right: 16601 actu_wrong: 129,44015,1019,42996,5.913658475875854,0.29092077060295873,40.38720703125,0.36724056943903693,3036.1015625,3437.3619935331963,2723.010699845903,0.013998525639873168,0.0238706370135374,1.0,RQ3_case_study,1
MSTGAD,276ff6b9,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.8836  rc:1.0000  auc:0.9996 ap:0.9444 f1: 0.9382 pred_right: 16584 pred_wrong:146 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.4455572688390337,0.14346681037351036,67.048828125,0.23356584182985515,3117.01953125,6970.253241126211,4281.447972723967,0.0075880313340601505,0.015181779718940584,1.0,RQ3_case_study,1
MSTGAD,d96d8c43,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8811  rc:0.9767  auc:0.9998 ap:0.9687 f1: 0.9265 pred_right: 16587 pred_wrong:143 actu_right: 16601 actu_wrong: 129,44015,1019,42996,5.475652236143748,0.24501142484729901,40.38720703125,0.3191157863728671,3043.9375,4081.4423271210326,3133.6588244856107,0.011906330190454496,0.02074252611423636,1.0,RQ3_case_study,1
