2026-07-21 09:33:49,219 P2579382 INFO ---- Model: ----MSTGAD-3a9f2bbd----random_seed : 3----req_loss_approach : Normal-Recreation----rec_lambda : 1.0----auxi_lambda : 0.0----Freq Domain : encoder_decoder----Multi Fits : false----train : True----evaluate : False
2026-07-21 09:33:49,219 P2579382 INFO read Tranform data
2026-07-21 09:33:50,476 P2579382 INFO read Graph edge data
2026-07-21 09:33:50,477 P2579382 INFO Fewshot: training with 1.0 of the 70% of the data
2026-07-21 09:33:53,462 P2579382 INFO Trainable Parameters Breakdown:
2026-07-21 09:33:53,462 P2579382 INFO --------------------------------------------------------------------------------
2026-07-21 09:33:53,463 P2579382 INFO Reconstruction-Specific Parameters:
2026-07-21 09:33:53,465 P2579382 INFO encoder.sa_add.1.addnorm_node.ln.bias    | shape: (4,)                      | params: 4
2026-07-21 09:33:53,465 P2579382 INFO encoder.sa_add.1.addnorm_trace.ln.weight | shape: (4,)                      | params: 4
2026-07-21 09:33:53,465 P2579382 INFO encoder.sa_add.1.addnorm_trace.ln.bias   | shape: (4,)                      | params: 4
2026-07-21 09:33:53,465 P2579382 INFO encoder.sa_add.1.addnorm_log.ln.weight   | shape: (16,)                     | params: 16
2026-07-21 09:33:53,466 P2579382 INFO encoder.sa_add.1.addnorm_log.ln.bias     | shape: (16,)                     | params: 16
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_node.in_proj_weight | shape: (12, 4)                   | params: 48
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_node.in_proj_bias | shape: (12,)                     | params: 12
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_node.out_proj.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_node.out_proj.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_trace.in_proj_weight | shape: (12, 4)                   | params: 48
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_trace.in_proj_bias | shape: (12,)                     | params: 12
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_trace.out_proj.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_trace.out_proj.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_log.in_proj_weight | shape: (48, 16)                  | params: 768
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_log.in_proj_bias | shape: (48,)                     | params: 48
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_log.out_proj.weight | shape: (16, 16)                  | params: 256
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.attention_log.out_proj.bias | shape: (16,)                     | params: 16
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.vff_node.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.vff_node.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.vff_trace.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.vff_trace.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,466 P2579382 INFO encoder.temporal_attention.0.vff_log.weight | shape: (16, 16)                  | params: 256
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.0.vff_log.bias | shape: (16,)                     | params: 16
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.0.headff_node.weight | shape: (10, 40)                  | params: 400
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.0.headff_node.bias | shape: (10,)                     | params: 10
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.0.headff_trace.weight | shape: (10, 40)                  | params: 400
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.0.headff_trace.bias | shape: (10,)                     | params: 10
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.0.headff_log.weight | shape: (10, 40)                  | params: 400
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.0.headff_log.bias | shape: (10,)                     | params: 10
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_node.in_proj_weight | shape: (12, 4)                   | params: 48
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_node.in_proj_bias | shape: (12,)                     | params: 12
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_node.out_proj.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_node.out_proj.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_trace.in_proj_weight | shape: (12, 4)                   | params: 48
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_trace.in_proj_bias | shape: (12,)                     | params: 12
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_trace.out_proj.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_trace.out_proj.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_log.in_proj_weight | shape: (48, 16)                  | params: 768
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_log.in_proj_bias | shape: (48,)                     | params: 48
2026-07-21 09:33:53,467 P2579382 INFO encoder.temporal_attention.1.attention_log.out_proj.weight | shape: (16, 16)                  | params: 256
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.attention_log.out_proj.bias | shape: (16,)                     | params: 16
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.vff_node.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.vff_node.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.vff_trace.weight | shape: (4, 4)                    | params: 16
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.vff_trace.bias | shape: (4,)                      | params: 4
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.vff_log.weight | shape: (16, 16)                  | params: 256
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.vff_log.bias | shape: (16,)                     | params: 16
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.headff_node.weight | shape: (10, 40)                  | params: 400
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.headff_node.bias | shape: (10,)                     | params: 10
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.headff_trace.weight | shape: (10, 40)                  | params: 400
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.headff_trace.bias | shape: (10,)                     | params: 10
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.headff_log.weight | shape: (10, 40)                  | params: 400
2026-07-21 09:33:53,468 P2579382 INFO encoder.temporal_attention.1.headff_log.bias | shape: (10,)                     | params: 10
2026-07-21 09:33:53,468 P2579382 INFO encoder.ta_add.0.addnorm_node.ln.weight  | shape: (4,)                      | params: 4
2026-07-21 09:33:53,468 P2579382 INFO encoder.ta_add.0.addnorm_node.ln.bias    | shape: (4,)                      | params: 4
2026-07-21 09:33:53,468 P2579382 INFO encoder.ta_add.0.addnorm_trace.ln.weight | shape: (4,)                      | params: 4
2026-07-21 09:33:53,468 P2579382 INFO encoder.ta_add.0.addnorm_trace.ln.bias   | shape: (4,)                      | params: 4
2026-07-21 09:33:53,468 P2579382 INFO encoder.ta_add.0.addnorm_log.ln.weight   | shape: (16,)                     | params: 16
2026-07-21 09:33:53,469 P2579382 INFO encoder.ta_add.0.addnorm_log.ln.bias     | shape: (16,)                     | params: 16
2026-07-21 09:33:53,469 P2579382 INFO encoder.ta_add.1.addnorm_node.ln.weight  | shape: (4,)                      | params: 4
2026-07-21 09:33:53,469 P2579382 INFO encoder.ta_add.1.addnorm_node.ln.bias    | shape: (4,)                      | params: 4
2026-07-21 09:33:53,469 P2579382 INFO encoder.ta_add.1.addnorm_trace.ln.weight | shape: (4,)                      | params: 4
2026-07-21 09:33:53,469 P2579382 INFO encoder.ta_add.1.addnorm_trace.ln.bias   | shape: (4,)                      | params: 4
2026-07-21 09:33:53,469 P2579382 INFO encoder.ta_add.1.addnorm_log.ln.weight   | shape: (16,)                     | params: 16
2026-07-21 09:33:53,469 P2579382 INFO encoder.ta_add.1.addnorm_log.ln.bias     | shape: (16,)                     | params: 16
2026-07-21 09:33:53,469 P2579382 INFO encoder.ffn.0.ff_node.ff.0.weight        | shape: (16, 4)                   | params: 64
2026-07-21 09:33:53,469 P2579382 INFO encoder.ffn.0.ff_node.ff.0.bias          | shape: (16,)                     | params: 16
2026-07-21 09:33:53,469 P2579382 INFO encoder.ffn.0.ff_node.ff.3.weight        | shape: (4, 16)                   | params: 64
