model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,random_seed
MSTGAD,2da03760,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9323  rc:0.9238  auc:0.9905 ap:0.9796 f1: 0.9280 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,4234,1144,3090,2.088515230473256,0.26419687526111296,41.99951171875,0.3805680425126001,1996.03125,1.0,3
MSTGAD,2c31c1ac,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9746  rc:0.9548  auc:0.9932 ap:0.9910 f1: 0.9646 pred_right: 17901 pred_wrong:1299 actu_right: 17874 actu_wrong: 1326,4664,1574,3090,1.774603628317515,0.19390653359769572,43.1123046875,0.2843313676150725,2031.8203125,1.0,1
MSTGAD,93c0fa4d,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9807  rc:0.9555  auc:0.9931 ap:0.9911 f1: 0.9679 pred_right: 17908 pred_wrong:1292 actu_right: 17874 actu_wrong: 1326,4664,1574,3090,1.7534790934208069,0.2004076843805704,43.1123046875,0.2899467413863184,2048.046875,1.0,2
MSTGAD,2da03760,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9517  rc:0.9367  auc:0.9907 ap:0.9848 f1: 0.9441 pred_right: 17895 pred_wrong:1305 actu_right: 17874 actu_wrong: 1326,4664,1574,3090,1.7718619487502358,0.19470602886632873,43.1123046875,0.28350674815639737,2020.78125,1.0,3
MSTGAD,83e0641c,Eadro,false,Legendre-style,1.0,0.1,pr:0.9335  rc:0.9216  auc:0.9882 ap:0.9775 f1: 0.9275 pred_right: 17891 pred_wrong:1309 actu_right: 17874 actu_wrong: 1326,137061,133971,3090,0.9502749321234487,0.06820947530364536,45.2353515625,0.18137052380748256,2143.3125,1.0,1
MSTGAD,93054b6c,Eadro,false,Legendre-style,1.0,0.1,pr:0.9462  rc:0.9155  auc:0.9829 ap:0.9728 f1: 0.9306 pred_right: 17917 pred_wrong:1283 actu_right: 17874 actu_wrong: 1326,137061,133971,3090,0.9349792447441068,0.07666675660557784,45.2353515625,0.19354559591818055,2127.76953125,1.0,2
MSTGAD,643e97e3,Eadro,false,Legendre-style,1.0,0.1,pr:0.9197  rc:0.9155  auc:0.9868 ap:0.9751 f1: 0.9176 pred_right: 17880 pred_wrong:1320 actu_right: 17874 actu_wrong: 1326,137061,133971,3090,0.957485466827581,0.07423304321506656,45.2353515625,0.16950795994722906,2120.875,1.0,3
MSTGAD,83e0641c,Eadro,false,Legendre-style,1.0,0.1,pr:0.9337  rc:0.9238  auc:0.9872 ap:0.9773 f1: 0.9287 pred_right: 17888 pred_wrong:1312 actu_right: 17874 actu_wrong: 1326,152228,149138,3090,1.109320647141029,0.08766060986125038,59.978515625,0.27385979129385535,2111.78515625,1.0,1
MSTGAD,93054b6c,Eadro,false,Legendre-style,1.0,0.1,pr:0.9421  rc:0.9321  auc:0.9887 ap:0.9789 f1: 0.9371 pred_right: 17888 pred_wrong:1312 actu_right: 17874 actu_wrong: 1326,152228,149138,3090,1.080117115055222,0.0875011949544851,59.978515625,0.2384044128164109,2128.79296875,1.0,2
MSTGAD,643e97e3,Eadro,false,Legendre-style,1.0,0.1,pr:0.9418  rc:0.9268  auc:0.9904 ap:0.9805 f1: 0.9342 pred_right: 17895 pred_wrong:1305 actu_right: 17874 actu_wrong: 1326,152228,149138,3090,1.0810684259835777,0.08584016288807189,59.978515625,0.23239493299224726,2146.71484375,1.0,3
MSTGAD,ceb58b83,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.8167  rc:0.8567  auc:0.9886 ap:0.9598 f1: 0.8362 pred_right: 17809 pred_wrong:1391 actu_right: 17874 actu_wrong: 1326,16345,13255,3090,2.713651479880015,0.2690455073482992,31.873046875,0.4832699266276187,1980.40625,1.0,1
MSTGAD,e6ebb52a,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.8700  rc:0.8024  auc:0.9856 ap:0.9546 f1: 0.8348 pred_right: 17977 pred_wrong:1223 actu_right: 17874 actu_wrong: 1326,16345,13255,3090,2.7002873261769613,0.3728534338096034,31.873046875,0.7335174954936253,1975.11328125,1.0,2
MSTGAD,edea3a2c,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.8194  rc:0.7836  auc:0.9841 ap:0.9452 f1: 0.8011 pred_right: 17932 pred_wrong:1268 actu_right: 17874 actu_wrong: 1326,16345,13255,3090,2.7245998112360637,0.2777011302419879,31.873046875,0.4843219149629771,1970.11328125,1.0,3
MSTGAD,ceb58b83,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.9637  rc:0.9419  auc:0.9944 ap:0.9861 f1: 0.9527 pred_right: 17904 pred_wrong:1296 actu_right: 17874 actu_wrong: 1326,20673,17583,3090,3.3355094901720683,0.35263629081485814,51.58935546875,0.8123932462750059,2013.11328125,1.0,1
MSTGAD,e6ebb52a,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.9557  rc:0.9118  auc:0.9943 ap:0.9845 f1: 0.9332 pred_right: 17935 pred_wrong:1265 actu_right: 17874 actu_wrong: 1326,20673,17583,3090,2.963170440196991,0.25747910951193925,51.58935546875,0.729466079603117,2028.48828125,1.0,2
MSTGAD,edea3a2c,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.9460  rc:0.9246  auc:0.9948 ap:0.9831 f1: 0.9352 pred_right: 17904 pred_wrong:1296 actu_right: 17874 actu_wrong: 1326,20673,17583,3090,2.9266861987113955,0.2534609979911709,51.58935546875,0.7756668686937591,2043.2109375,1.0,3
