model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,be317b2c,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.8822  rc:0.7173  auc:0.9953 ap:0.9518 f1: 0.7912 pred_right: 457759 pred_wrong:12041 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.512847995758058,0.22177365781519087,142.751953125,0.8949289091966456,6038.9296875,1.0,RQ2_ablations_components,1
MSTGAD,e9c804e8,FITS_Legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8385  rc:0.6474  auc:0.9923 ap:0.9317 f1: 0.7307 pred_right: 458367 pred_wrong:11433 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,21.8011314868927,0.25664009243147246,143.1455078125,0.6362716174426775,5930.203125,1.0,RQ2_ablations_components,1
MSTGAD,cac4be94,FITS_Legendre,false,Legendre-style,0.0,1.0,TexFilter,linear_attn,pr:0.8846  rc:0.7917  auc:0.9938 ap:0.9533 f1: 0.8356 pred_right: 456546 pred_wrong:13254 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,23.730563163757324,0.37520464646419344,142.751953125,0.8200442339331083,6279.63671875,1.0,RQ2_ablations_components,1
MSTGAD,22e655e6,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,no_attn,pr:0.9347  rc:0.4685  auc:0.9827 ap:0.8856 f1: 0.6241 pred_right: 462378 pred_wrong:7422 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.401692485809328,0.25023180745909873,146.25439453125,0.9684956306431242,6406.59765625,1.0,RQ2_ablations_components,1
MSTGAD,9310b05f,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.8822  rc:0.7173  auc:0.9953 ap:0.9518 f1: 0.7912 pred_right: 457759 pred_wrong:12041 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.643763160705568,0.3466707459547216,142.751953125,0.7566829910234524,5978.8671875,1.0,RQ2_ablations_components,1
MSTGAD,55792729,FITS_Legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8385  rc:0.6474  auc:0.9923 ap:0.9317 f1: 0.7307 pred_right: 458367 pred_wrong:11433 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,20.881918239593507,0.24473783052884615,143.1455078125,0.8473321025598747,5965.90625,1.0,RQ2_ablations_components,1
