model,hash_id,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,17f99a28,FITS_Legendre,chebyshev,false,FreDF-style,1.0,0.1,TexFilter,linear_attn,pr:0.9257  rc:0.8322  auc:0.9973 ap:0.9744 f1: 0.8765 pred_right: 456488 pred_wrong:13312 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,17.899467854499818,0.17674833838619403,142.7529296875,0.6200760705599692,6839.80078125,1.0,RQ2_basis_comparison,1
MSTGAD,1232d28c,FITS_Legendre,fourier,false,FreDF-style,1.0,0.1,TexFilter,linear_attn,pr:0.9126  rc:0.8479  auc:0.9972 ap:0.9736 f1: 0.8791 pred_right: 456041 pred_wrong:13759 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.427432460784914,0.1690137896006745,141.2265625,0.7840377591918174,6566.48046875,1.0,RQ2_basis_comparison,1
MSTGAD,a9e4ef11,FITS_Legendre,hermite,false,FreDF-style,1.0,0.1,TexFilter,linear_attn,pr:0.0320  rc:0.9724  auc:0.5073 ap:0.5005 f1: 0.0619 pred_right: 19641 pred_wrong:450159 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.37517549009884,0.1787483154016576,142.7529296875,0.6254707220364384,6649.90625,1.0,RQ2_basis_comparison,1
MSTGAD,98918b38,FITS_Legendre,laguerre,false,FreDF-style,1.0,0.1,TexFilter,linear_attn,pr:0.9173  rc:0.7524  auc:0.9946 ap:0.9565 f1: 0.8267 pred_right: 457653 pred_wrong:12147 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.351292104721068,0.34156117138167336,142.7529296875,0.6620564225346842,6739.1640625,1.0,RQ2_basis_comparison,1
MSTGAD,1a69f990,FITS_Legendre,fourier,false,FreDF-style,1.0,0.1,TexFilter,linear_attn,pr:0.9320  rc:0.8408  auc:0.9979 ap:0.9776 f1: 0.8841 pred_right: 456440 pred_wrong:13360 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.69341869831085,0.17602930079918916,141.2265625,0.8532830959893806,6711.0,1.0,RQ2_basis_comparison,2
MSTGAD,74b1eedb,FITS_Legendre,legendre,false,FreDF-style,1.0,0.1,TexFilter,linear_attn,pr:0.9411  rc:0.8239  auc:0.9972 ap:0.9757 f1: 0.8786 pred_right: 456835 pred_wrong:12965 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.53628999710083,0.15793060407846585,142.7529296875,0.7918254105560267,6349.1640625,1.0,RQ2_basis_comparison,1
